componente,frase,grupo_num,peso_semantico,lineas_disponibles,año,semestre,municipio,vereda,participantes,grupo,lineas_inversion
económico,Las principales actividades economicas de la vereda son pocos cultivos de café,2,0.873,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,Desarrollo rural
económico,Hay poca ganaderia,3,0.865,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo D,Desarrollo rural
económico,Existe un sector donde se realiza mineria,1,0.784,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo B,Desarrollo rural
económico,"Limpian el oro en las bateas y lo venden, asi no hacen ninguna cosa con el",1,0.625,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo B,Desarrollo rural
económico,"Las principales actividades economicas de la vereda son cultivos de café, minera y ganaderia",2,0.945,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Buenavista,1,Grupo C,Desarrollo rural
económico,"Las principales actividades economicas de la vereda son café, mineria con molinos y en menor medida cultivos de caña, cacao y ganaderia",2,0.942,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo C,Desarrollo rural
económico,En los molinos se genera empleo,1,0.81,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guadualejo,2,Grupo B,"Desarrollo rural, Infraestructura comunitaria"
económico,"Las principales actividades economicas de la vereda son café, en menor medida cultivos de caña y aguacate solo para el consumo personal y la ganaderia solo 2 personas en la vereda lo manejan y es para la venta",2,0.887,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Alto San Francisco,2,Grupo C,Desarrollo rural
económico,"Las principales actividades economicas de la vereda son cultivos de café, platano, citricos,cacao, ganado y porcicultura",2,0.911,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo C,Desarrollo rural
económico,"Existen saberes tradicionales que se estan perdiendo como artesania, sobanderos y comida tipica y pueden generar una fuente de ingreso",0,0.897,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,Bajo San Francisco,3,Grupo A,"Desarrollo rural, Fortalecimiento comunitario"
económico,"Las principales actividades economicas de la vereda son cultivos de café, platano, en menor medida ganaderia con 3 fincas y cultivo de yuca, caña para uso familiar",2,0.903,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Amalia,2,Grupo C,Desarrollo rural
económico,En la comunidad la ganaderia no es un sector dominante solo dos familias realizan este tipo de actividad pero no es tan grande,3,0.835,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo D,Desarrollo rural
económico,El cultivo dominante es el café,2,0.856,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo C,Desarrollo rural
económico,"Tambien hay cultivo de platano y huertas para consumo familiar, se realiza de manera tradicional y cultural ya que los ancestros decian que mejoraba no solo el aspecto sino que tambien ofrecia un aspecto llamativo",0,0.744,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo A,Desarrollo rural
económico,"Hay saberes ancestrales que han ido desapareciendo como la medicina, la elaboracion de canastas y productos de empaque con elementos reutilizables y pueden ser fuentes nuevas de ingeso",0,0.871,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo A,"Desarrollo rural, Fortalecimiento comunitario"
económico,En la comunidad hay una antigua mina que esta inactiva,3,0.719,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo D,Desarrollo rural
económico,Hay generadores de empleo como fincas productoras y limpieza domestica,1,0.786,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Bodega,1,Grupo B,Fortalecimiento comunitario
económico,La principal fuente de ingreso es el café,2,0.813,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Quinta,4,Grupo C,Desarrollo rural
económico,"Para el consumo familiar hay caña de azucar, huertas caseras, pollos, gallinas y cerdos",0,0.626,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Quinta,4,Grupo A,Desarrollo rural
económico,Existe un taller de confecciones,1,0.695,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Quinta,4,Grupo B,Fortalecimiento comunitario
económico,Hay emprendimientos de transformacion del platano,1,0.754,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Quinta,4,Grupo B,Desarrollo rural
económico,Los saberes de plantas medicinales y elaboracion de jabones medicinales son tradiciones que se han ido perdiendo y pueden ser nuevas fuentes de ingreso,0,0.856,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Supia,La Quinta,4,Grupo A,Fortalecimiento comunitario
social,"Hacemos parte de la vereda cabras y somos un sector donde hay aproximadamente 120 habitantes, niños 15,  niñas 20",0,0.72,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo A,"Agua y territorio, Desarrollo rural"
social,La lulera es un sector donde hay alrededor de 15 viviendas,1,0.578,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo B,Fortalecimiento comunitario
social,"Algunos tramos de vias tienen placa huellas, otros esta un poco en mal estado",5,0.792,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo F,"Infraestructura comunitaria, Fortalecimiento comunitario"
social,No se presenta inseguridad en la zona,2,0.49,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,Fortalecimiento comunitario
social,"No contamos con instituicion educativa en el sector, los niños van a estudiar a la vereda la portada que queda cerca",2,0.682,"['Agua y territorio', 'Desarrollo rural', 'Educación y competitividad', 'Infraestructura comunitaria', 'Fortalecimiento comunitario']",2026,1,Marmato,Guayabales,3,Grupo C,"Educación y competitividad, Fortalecimiento comunitario"
